,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(Baseline),1.0525913134638145,0.032638614434277874,0.9995372165404378,1.029941249496447,1.0520466909583432,1.0755399542617983,1.1166337505042003,0.002903509204543288
a(PostTest),1.0379917091986532,0.024201238690964112,0.9947560660397325,1.0199506240103842,1.0383323249735519,1.0529326355520263,1.0932452759986,0.0019247745781921428
a_std,0.023068401599393516,0.015920881103813702,0.002751381267846277,0.011493737757380135,0.01904448710399035,0.030296004547454528,0.06582201858428138,0.0014139935954325252
a_subj(Baseline).0,1.0475707114826707,0.0386193608264383,0.9780698986247285,1.01999824760459,1.0464121845034708,1.0731638949626827,1.124411914624567,0.002772221591613147
a_subj(Baseline).1,1.0529049473394574,0.04047060968298455,0.9876091397151716,1.023731948565865,1.0499283075224866,1.078610973405524,1.1380096894807825,0.0029157294220509672
a_subj(Baseline).2,1.0492845278216225,0.03774741789708765,0.9867507060051025,1.0215357362811588,1.0480142315953276,1.0720337267149014,1.1312187226462365,0.002800257734246247
a_subj(Baseline).3,1.0495391725200114,0.038622937259492604,0.9849909937393673,1.0219994329119715,1.046265589447683,1.0742299520353868,1.1313726009347125,0.002795488846878255
a_subj(Baseline).4,1.0534867578869935,0.0376771206335738,0.9909732227639073,1.0270423456757463,1.0522774666282324,1.0761384856719318,1.1344907020066577,0.0027451328641971157
a_subj(Baseline).5,1.0472556658374885,0.038179827902137614,0.9797932882830026,1.020210638585366,1.0441714611585748,1.0719277817118056,1.1288305469889472,0.002655118534779146
a_subj(Baseline).6,1.054726390969668,0.04044786695847116,0.9852172179929695,1.0279341738352348,1.0524335424050093,1.078560331375929,1.1437030941759763,0.003094860268955868
a_subj(Baseline).7,1.0569292587738834,0.0414795135196168,0.9908639539584452,1.0286520656211124,1.0529977723703892,1.0809342260439456,1.149417814268992,0.003179431212369955
a_subj(Baseline).8,1.0573939258170746,0.040888274509089835,0.991799281149544,1.0288140763601512,1.0551333078132676,1.0817170430299488,1.1479712105437851,0.003019178298399301
