,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(Baseline),1.0794150757483154,0.032575697775753774,1.009883945793235,1.0577523061092202,1.0811591892340384,1.103681751081963,1.1391192112849622,0.0028781861496439006
a(PostTest),1.0603105491128246,0.02861995675919316,1.0096394385400331,1.0395281466933155,1.0585774294286845,1.0803865663490868,1.1159471280688347,0.0024546871492659742
a_std,0.023707527234730564,0.012701420722425676,0.0070587357052001535,0.01413328625203486,0.02096894657654791,0.030437281505902476,0.055806769048004495,0.0010918992996562674
a_subj(Baseline).10,1.0800721858273357,0.04010817156017082,0.9993931450856771,1.054310986940586,1.0819328645236932,1.1065206604339903,1.154974366259861,0.003022641820396353
a_subj(Baseline).11,1.0702370333327016,0.0393739520013403,0.9882305083638212,1.0465803565197864,1.0730556474511994,1.0982602158786299,1.13828569180619,0.0029986048048065987
a_subj(Baseline).12,1.0853827303451213,0.038446198823541555,1.0104884574325206,1.0591027633462156,1.0856543887045986,1.1108336194276527,1.158797056866437,0.0029191971109598872
a_subj(Baseline).13,1.0794947243773678,0.03793220952507607,1.0056230382805171,1.053751545830374,1.0802411308854598,1.1048278585025506,1.1488682347287318,0.0027780216455623235
a_subj(Baseline).14,1.0756635355904396,0.04050341583809064,0.9886558582019439,1.0518543341405053,1.0776650177802307,1.103836930412634,1.154318516784053,0.002980892167777408
a_subj(Baseline).15,1.0818311869277277,0.039661089838885895,1.0014940534899872,1.0566967785305839,1.081280714330642,1.1076090336382658,1.164047151872501,0.0028685144517843096
a_subj(Baseline).16,1.0843365658558966,0.03950567331408208,1.0049140862826087,1.0584690342883607,1.084280180388272,1.110730733926321,1.16218340547138,0.002884161898866985
a_subj(Baseline).17,1.0810395776432145,0.0380236807646158,1.0016294575334121,1.0580313599630484,1.080981502384555,1.107396053780013,1.1538053085566227,0.0028067647630197735
a_subj(Baseline).18,1.0754230279422863,0.039019409050763905,0.9985311741591507,1.0506301833609795,1.0771234065176718,1.1031204864816648,1.1475124033822797,0.0028957361896207274
a_subj(Baseline).19,1.073382331399893,0.038669167222157325,0.9921794017918206,1.0473900209318743,1.07504014500305,1.0999362602289555,1.1435979301637265,0.0028142706149223077
a_subj(PostTest).10,1.0559291153112875,0.03650407908609584,0.9835856688569056,1.032463487585276,1.05587575671534,1.0800142794945256,1.1283783662731954,0.0025416640711164247
a_subj(PostTest).11,1.0584747246418276,0.03561908630826105,0.9906824592647709,1.034820635654893,1.0580920466146415,1.0796186645558103,1.129397108324984,0.0024709757581635548
a_subj(PostTest).12,1.0617950396842204,0.036258774084758305,0.9964321283681616,1.0367891512577192,1.0593111663175765,1.0846527511551252,1.1394595483303875,0.0025672243854558893
a_subj(PostTest).13,1.0642376124549329,0.03571370573427954,0.9961537731857072,1.038757570877562,1.0639205090552077,1.0877839505343385,1.1349161125321232,0.002469016263787143
a_subj(PostTest).14,1.0626692656756822,0.03523347982928044,0.997038011083418,1.0386127601955732,1.0606956516721917,1.0861268551071381,1.1334102592936794,0.0023957314085633428
a_subj(PostTest).15,1.061941348889445,0.03669259174261874,0.9904089023680551,1.0380722125210493,1.0615464145910685,1.0874681245565574,1.1336451394765374,0.0026058534763418913
