subj_idx,Group,baseline_rt_ms,posttest_rt_ms,delta_rt_ms
0,AgencyEMS,632.1094814814816,660.41475,28.30526851851846
1,AgencyEMS,663.8937407407406,597.1205161290324,-66.7732246117082
2,AgencyEMS,641.6412903225805,544.6680000000001,-96.9732903225804
3,AgencyEMS,645.815666666667,620.7109999999999,-25.10466666666707
4,AgencyEMS,658.946,601.5233333333333,-57.422666666666714
5,AgencyEMS,632.0060000000001,611.104076923077,-20.90192307692314
6,AgencyEMS,664.0112068965515,539.6907692307692,-124.32043766578226
7,AgencyEMS,687.5073703703703,644.4537419354841,-43.05362843488615
8,AgencyEMS,691.8338709677416,554.4032413793104,-137.4306295884312
9,AgencyEMS,665.767379310345,596.078,-69.68937931034498
10,Voluntary,705.7426666666667,629.3277096774195,-76.41495698924712
11,Voluntary,638.083956521739,642.5866470588236,4.502690537084618
12,Voluntary,705.7951851851852,667.7934827586204,-38.00170242656486
13,Voluntary,673.8928461538463,697.1330000000002,23.240153846153817
14,Voluntary,648.0820434782609,675.9591379310345,27.87709445277369
15,Voluntary,693.2316666666665,672.8518787878787,-20.379787878787738
16,Voluntary,695.71725,669.3016666666663,-26.415583333333757
17,Voluntary,664.1526896551723,654.629142857143,-9.523546798029201
18,Voluntary,648.8523333333334,632.6516666666668,-16.20066666666662
19,Voluntary,627.246,665.409,38.16300000000001
