subj_idx,param,Phase,mean,sd,hdi_low,hdi_high
10,a,Baseline,1.0800721858273357,0.04010817156017082,0.999392936662663,1.1545241448885963
11,a,Baseline,1.0702370333327016,0.0393739520013403,0.988227762693594,1.1381213099329408
12,a,Baseline,1.0853827303451213,0.038446198823541555,1.0104830276576497,1.1579054219108034
13,a,Baseline,1.0794947243773678,0.03793220952507607,1.0056221130196914,1.1482343342765615
14,a,Baseline,1.0756635355904396,0.04050341583809064,0.9886415672189247,1.1530699604424226
15,a,Baseline,1.0818311869277277,0.039661089838885895,1.0014628109051262,1.1627188864694207
16,a,Baseline,1.0843365658558966,0.03950567331408208,1.0049122463289255,1.1610714028975762
17,a,Baseline,1.0810395776432145,0.0380236807646158,1.001619661286024,1.153071190909411
18,a,Baseline,1.0754230279422863,0.039019409050763905,0.9985035979502953,1.1473138358336568
19,a,Baseline,1.073382331399893,0.038669167222157325,0.9921772054779608,1.1435724093675577
10,a,PostTest,1.0559291153112875,0.03650407908609584,0.9835815111171715,1.1276132762266968
11,a,PostTest,1.0584747246418276,0.03561908630826105,0.9906671676403299,1.1281867157324414
12,a,PostTest,1.0617950396842204,0.036258774084758305,0.9964307695695808,1.138983932593611
13,a,PostTest,1.0642376124549329,0.03571370573427954,0.9961356177325441,1.1342487008086195
14,a,PostTest,1.0626692656756822,0.03523347982928044,0.997015615029537,1.1328572565760644
15,a,PostTest,1.061941348889445,0.03669259174261874,0.990395560750222,1.1334483906670436
16,a,PostTest,1.0644663327564485,0.03518809477005203,0.9994359320779478,1.1352842084487225
17,a,PostTest,1.0567434128353879,0.036437928316320416,0.9864178054494567,1.1280257939258351
18,a,PostTest,1.0586990461386612,0.03663183785363587,0.9866153220130124,1.1278950893072872
19,a,PostTest,1.0585849544026327,0.035862158284032705,0.9872046686548324,1.1274012512339349
10,v,Baseline,0.21175054508762248,0.18573946700063898,-0.1911532345306415,0.565158617291325
11,v,Baseline,0.2972033222018811,0.19359569268206828,-0.06690588542326996,0.7397511037163595
12,v,Baseline,0.15760154164500312,0.1850855018349038,-0.3040657696538827,0.47139069874288575
13,v,Baseline,0.24612455262944782,0.17893008142516076,-0.11733152194433068,0.6481933354967868
14,v,Baseline,0.12865942293058819,0.20875614012937724,-0.3730178782799359,0.4561019060869035
15,v,Baseline,0.28978648627698145,0.18558708611815905,-0.07476081614009279,0.6818323385260632
16,v,Baseline,0.17393030084728,0.1743665566141366,-0.2220101120298656,0.48407754881160364
17,v,Baseline,0.3011147649177186,0.1886967619247517,-0.04460623180291425,0.7249678517280563
18,v,Baseline,0.21572928629743884,0.18451019476515398,-0.17918729435337608,0.5790965191260491
19,v,Baseline,0.19439503299879368,0.18289880330966574,-0.24710477271358278,0.536217367071536
10,v,PostTest,0.019134241116324148,0.18918630860041855,-0.30497147637030897,0.4259976011025563
11,v,PostTest,0.026412924201817418,0.19089709776117064,-0.2916136325403185,0.45202299677262264
12,v,PostTest,0.005953881689864858,0.19207366224787148,-0.33969354103504956,0.3981073559126383
13,v,PostTest,-0.07248953957730862,0.19483791630976396,-0.48664928468259455,0.29247057332792575
14,v,PostTest,-0.04632655813513225,0.1820374123275503,-0.40631120631914697,0.3379269860703296
15,v,PostTest,-0.03385359805407917,0.17176387024350132,-0.37320528482347914,0.3069524781213683
16,v,PostTest,-0.007676306380856929,0.1795388138258051,-0.34108897684743567,0.3509323792281709
17,v,PostTest,0.059272066185914886,0.2085193381156837,-0.30122464095962276,0.5160957399536954
18,v,PostTest,-0.16859196495443196,0.2331759269751618,-0.7220590177900341,0.2331487870408349
19,v,PostTest,0.03020601734345537,0.20335222033427638,-0.3011790354236355,0.4802969318125396
10,t,Baseline,0.42842548997685836,0.022530719984582854,0.38191248893993196,0.46700909650473876
11,t,Baseline,0.38062721964590696,0.01148486975485809,0.3558305578184679,0.3996959085087087
12,t,Baseline,0.3994987722781093,0.012840190707332732,0.37393711286553016,0.4207445121574264
13,t,Baseline,0.378754082687056,0.011455360046626775,0.35366684477793364,0.3973323246189481
14,t,Baseline,0.3866465211606422,0.013630655959767585,0.35654658183267973,0.4093875430008032
15,t,Baseline,0.4048077734183077,0.013244850642182874,0.37694490898212263,0.4273953201184157
16,t,Baseline,0.3918235208755833,0.011401953575205128,0.36731279811495593,0.40991628160056487
17,t,Baseline,0.3537077347917625,0.009555729381027599,0.33437716760834124,0.3694451065739535
18,t,Baseline,0.38864374312290645,0.011151824731134697,0.365127601561517,0.40803191842052017
19,t,Baseline,0.37355887672729543,0.010541481942434861,0.3515599993376362,0.3931534714469464
10,t,PostTest,0.3826256877002986,0.011216616669224822,0.35849744365720804,0.40072534719477726
11,t,PostTest,0.3580413111739143,0.009263177561610443,0.33709871309071127,0.37269118154829806
12,t,PostTest,0.3941038635089686,0.01210960819343256,0.36739645709889474,0.414345766743982
13,t,PostTest,0.3944604869107513,0.013427584078194344,0.36419241991188495,0.41697289936144794
14,t,PostTest,0.36087463393841435,0.010203159341958064,0.337789828185987,0.3772530536408376
15,t,PostTest,0.39089838399989757,0.01197896466601528,0.36442201731992313,0.4117652101397649
16,t,PostTest,0.36690340618325,0.012595135518533081,0.3422252517117648,0.3965084156269088
17,t,PostTest,0.38957588161356926,0.011729883252646503,0.36535352987510317,0.40964996254027336
18,t,PostTest,0.3730065029568925,0.011136226161704278,0.3481341075391855,0.3913693136591907
19,t,PostTest,0.398881921527649,0.014357738097266756,0.3680006976757999,0.42328589246050546
