subj_idx,SubjectID,Group,stim,response,rt,Phase
0,P001,AgencyEMS,Left,1,0.22637700000000002,Baseline
0,P001,AgencyEMS,Left,0,0.280377,Baseline
0,P001,AgencyEMS,Left,1,0.210377,Baseline
0,P001,AgencyEMS,Left,1,0.22537700000000002,Baseline
0,P001,AgencyEMS,Right,1,0.243377,Baseline
0,P001,AgencyEMS,Right,1,0.240377,Baseline
0,P001,AgencyEMS,Left,1,0.22137700000000002,Baseline
0,P001,AgencyEMS,Right,1,0.215377,Baseline
0,P001,AgencyEMS,Right,0,0.21937700000000002,Baseline
0,P001,AgencyEMS,Left,1,0.349377,Baseline
0,P001,AgencyEMS,Left,1,0.22137700000000002,Baseline
0,P001,AgencyEMS,Right,1,0.22337700000000002,Baseline
0,P001,AgencyEMS,Right,0,0.239377,Baseline
0,P001,AgencyEMS,Left,1,0.251377,Baseline
0,P001,AgencyEMS,Left,0,0.251377,Baseline
0,P001,AgencyEMS,Right,1,0.293377,Baseline
0,P001,AgencyEMS,Right,1,0.247377,Baseline
0,P001,AgencyEMS,Left,1,0.416377,Baseline
0,P001,AgencyEMS,Left,1,0.215377,Baseline
0,P001,AgencyEMS,Right,1,0.199377,Baseline
0,P001,AgencyEMS,Left,0,0.216377,Baseline
0,P001,AgencyEMS,Left,0,0.196377,Baseline
0,P001,AgencyEMS,Right,0,0.237377,Baseline
0,P001,AgencyEMS,Left,1,0.204377,Baseline
0,P001,AgencyEMS,Right,1,0.19237700000000002,Baseline
0,P001,AgencyEMS,Right,1,0.236377,Baseline
0,P001,AgencyEMS,Left,1,0.207377,Baseline
0,P001,AgencyEMS,Left,1,0.242377,Baseline
0,P001,AgencyEMS,Right,1,0.198377,Baseline
0,P001,AgencyEMS,Left,1,0.247377,Baseline
0,P001,AgencyEMS,Right,1,0.253377,Baseline
0,P001,AgencyEMS,Left,0,0.279377,Baseline
0,P001,AgencyEMS,Right,1,0.21737700000000001,Baseline
0,P001,AgencyEMS,Left,1,0.206377,Baseline
0,P001,AgencyEMS,Left,1,0.32637700000000003,Baseline
