,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(Baseline),0.5203427969240443,0.004688226121331792,0.5121744021420074,0.5171219360067664,0.5199221019556459,0.5226210146578155,0.5311146747389679,0.00037622841172185804
a(PostTest),0.5175962996519915,0.004002060120508353,0.5100998860083887,0.5149137231046641,0.5176659418718518,0.5203787934505976,0.525989979929912,0.0002945260563172129
a_std,0.005162852474327373,0.004294872990310883,0.00026160161041021817,0.0014580429159659451,0.004136230076662237,0.007951848531626678,0.015487261627296637,0.0003914709840225117
a_subj(Baseline).18,0.5231235480529706,0.008101292097355972,0.5104563351518056,0.5178679759879166,0.521294783867435,0.5271505382222007,0.5437282845045157,0.0005306916521129584
a_subj(Baseline).19,0.5233128289185157,0.007912920446541988,0.5110069330690133,0.5181319529524104,0.521681744429304,0.5272012428963818,0.5427343532222814,0.0005019755945218256
a_subj(Baseline).20,0.5215245063386035,0.007563783658307404,0.5079970118322034,0.516851866378121,0.5204377881975047,0.5254255662407656,0.5395117598503275,0.00043101758485620064
a_subj(Baseline).21,0.5182365017198023,0.007314288177129053,0.5009902954946815,0.5147881689927947,0.518693219528207,0.5222182107104232,0.5320428700788562,0.0004243174260114899
a_subj(Baseline).22,0.5222292856602442,0.007691972463043296,0.5094703917770078,0.5172578311057752,0.5207920957403911,0.5259108344921817,0.5401297679278442,0.0004540527837208215
a_subj(Baseline).23,0.5201204647545282,0.006994583502529143,0.5062544418684272,0.5161923421596152,0.5196915909248293,0.5235595644868275,0.5354316010883111,0.00039333031885730607
a_subj(Baseline).24,0.5221762923243403,0.007426978242686135,0.5101982634522658,0.5171834992491153,0.5210401525767725,0.5260224271177862,0.5397041002476691,0.0004491169383530934
a_subj(Baseline).25,0.5205938737225153,0.006829494635313858,0.5079916944723525,0.5162915524857912,0.5198972139730905,0.5242024929584597,0.5359695205232086,0.0003710640599748275
a_subj(Baseline).26,0.5174888215328065,0.0077062714000289065,0.5003036949274157,0.5140563331131742,0.5180514576914691,0.5218954192863707,0.531971974713238,0.0004750346540948106
a_subj(Baseline).27,0.5227421278764477,0.007829028352859022,0.511115539802063,0.5174763884907466,0.5211804703909553,0.5265928702094148,0.5419602008385433,0.00047126127641582296
a_subj(Baseline).28,0.5206218163778412,0.006985987361172072,0.5074528585171787,0.5163995742768968,0.5199408649297864,0.5242802698449891,0.5364394908749552,0.0003838655918309375
a_subj(Baseline).29,0.5176864222112557,0.0074639773880333105,0.5001052759585796,0.514241909835496,0.5181645133837124,0.5216987193916933,0.5315507479440805,0.0004364517335664946
a_subj(Baseline).30,0.5199711702385388,0.006997482213946834,0.5060659290831222,0.5160170100713063,0.5197203164543536,0.5238378384423091,0.5343656574000589,0.00037350015363720574
a_subj(Baseline).31,0.5191323859027339,0.007158807698496055,0.5036260580279913,0.5154478344876232,0.519369378785961,0.5228168988885525,0.5334529234816289,0.0003847211640841992
a_subj(Baseline).32,0.519157272519474,0.007310131543418155,0.5022528895719491,0.5157352246893113,0.5193410533804936,0.5230242495928557,0.533366345734717,0.0004019663227361361
a_subj(Baseline).33,0.518326204807135,0.00726194630145348,0.5020596988401418,0.5147001029894422,0.5187964219023056,0.5222081326528787,0.5321523745048503,0.0004224902343010187
a_subj(Baseline).34,0.5198295463755931,0.007185688254415186,0.5050169243208478,0.5158615338796332,0.5196090167380576,0.5237447348733234,0.5349277014530229,0.00038239467533941404
a_subj(Baseline).35,0.5194339447535741,0.007029548927756534,0.5054056861071273,0.5156509214839593,0.5194247238311509,0.5231240830135486,0.534071980718933,0.00037080119949709287
a_subj(PostTest).18,0.5168996025767743,0.006593914610726251,0.5024577713950074,0.5135322395928438,0.5173181236909221,0.5207544476101493,0.5300102838180445,0.0003147002099748139
a_subj(PostTest).19,0.5206087521568926,0.007447811607416006,0.5085194083273366,0.5158198969032519,0.5200414760853083,0.5233726834988693,0.5395777246890501,0.00043283217220078756
a_subj(PostTest).20,0.5166742176115112,0.00695052710723711,0.5001302535482735,0.513166247105558,0.5171281986497767,0.5206841886595778,0.5299023287370895,0.000331785107937178
a_subj(PostTest).21,0.5152057101543402,0.0072782912018798315,0.49918878340146733,0.5117257514067929,0.5159245284169658,0.52011047164607,0.5271775707722054,0.000411309531603783
a_subj(PostTest).22,0.5205923371996439,0.007419920015445903,0.5086192627771497,0.5156945198909831,0.5199327701066969,0.5235508380122345,0.5391819054106767,0.00041888580308012706
a_subj(PostTest).23,0.5130541405643035,0.00864347746611167,0.49091789403058045,0.5088803622408968,0.5148554282872083,0.5194463350565246,0.5250446783711443,0.000601976785779978
a_subj(PostTest).24,0.518511866754298,0.0065787459790034395,0.5058106687164583,0.5147033807856103,0.5185851347711039,0.5214530085473205,0.5338271139113648,0.0002981299115053504
a_subj(PostTest).25,0.5190927498269161,0.007042613254022679,0.5065167885412921,0.5150856344803926,0.5191161564125167,0.5218884012818599,0.5357102202926263,0.00033271361158384135
a_subj(PostTest).26,0.5168448346451782,0.00699604798343143,0.5008314399064329,0.5131974513779742,0.5173612655858475,0.5208790723314686,0.5308161001123592,0.000334146300988748
a_subj(PostTest).27,0.5173897670814128,0.006619686199451977,0.5030832579420297,0.5138702455498159,0.5178442965694965,0.5210106189476597,0.5304640482216804,0.00031352116958963084
a_subj(PostTest).28,0.5163385751585317,0.00694832017137466,0.49965237495218323,0.513008402008989,0.516933726992413,0.5206966043259946,0.5286317839812296,0.00036826442761314214
a_subj(PostTest).29,0.5191299857449491,0.007055381480783405,0.5057262929425533,0.514957304606828,0.519041872560898,0.522026177037704,0.5356174817504897,0.00035851341885345347
a_subj(PostTest).30,0.5165639962375776,0.006844343271369916,0.5008489222539195,0.5129970319451834,0.5171316310549494,0.5205997525524017,0.5297188779797656,0.0003423658556085291
a_subj(PostTest).31,0.516697266173793,0.006743409306092334,0.5012054312853977,0.5132430866588551,0.5171547933400111,0.5206879104926141,0.5293450470801544,0.00035007716767133045
a_subj(PostTest).32,0.5183871549627656,0.006617193049210898,0.5051121685233644,0.5147334300566195,0.5186235819652442,0.5215902454137563,0.5332141949514742,0.00029226225894710893
a_subj(PostTest).33,0.5176728504130491,0.006566211711671697,0.5040334776765056,0.5141980280874722,0.5179308537162028,0.5210372579215833,0.531790987003016,0.0002999718562992133
a_subj(PostTest).34,0.5183479171109114,0.006923800547723266,0.5040202451466078,0.514566917600465,0.5186615329239606,0.5215670285627225,0.5335125894014336,0.0003262271119712298
a_subj(PostTest).35,0.5186958671608365,0.0066293129598560385,0.5056784121420894,0.5150254419782384,0.5188905849469415,0.5217200386065324,0.5339935673902797,0.000289582217134333
v(Baseline),0.06927041541908528,0.08125875990780881,-0.08843299979784403,0.014215054068350262,0.07055970421396757,0.12403386686261372,0.2336255534061616,0.004254991208238953
v(PostTest),0.03987042323636741,0.08107120861362052,-0.11651207188743609,-0.013567013552831332,0.042622254711674065,0.09142176850086715,0.2058563547225623,0.004745593029099915
v_std,0.15989281652001158,0.06806032223914094,0.04231280929323225,0.10824244190886559,0.16148922910546273,0.204368726665347,0.2939522304533668,0.005497102348375903
v_subj(Baseline).18,0.0521751498143188,0.15171344874767678,-0.25497730231673066,-0.04192051506473189,0.05681843165917594,0.14828016745167694,0.35167799367322533,0.004622250467971222
v_subj(Baseline).19,0.09208439053412198,0.15341882874241164,-0.21449773802341207,-0.0022220484860572265,0.08748369483821558,0.18458936931680003,0.41351954082882336,0.004569571962697524
v_subj(Baseline).20,-0.057626748224137325,0.1685605622626357,-0.42164912100292995,-0.15550000859602284,-0.04155603001378916,0.05890874892364453,0.22545677080822452,0.0074683629602167855
v_subj(Baseline).21,0.08391503756030005,0.1551733010378256,-0.23240644673674438,-0.014334104055757468,0.08259607386440845,0.18195115423178027,0.39024665856634555,0.004327748810159428
v_subj(Baseline).22,0.12142600180783143,0.15096442565409238,-0.15552681321512393,0.02071043250570409,0.11426870242072767,0.2084605427668922,0.45271184745284354,0.00518211032825616
v_subj(Baseline).23,0.05764025580632822,0.14843520593634144,-0.26413143496827607,-0.03182483086962795,0.056865676751326116,0.14529774446615779,0.3580100357622722,0.0046414241245438664
v_subj(Baseline).24,0.055864992163682736,0.1442284795912243,-0.24723328020192875,-0.034269620559419345,0.06025808848176785,0.1457691244218779,0.3375542381725297,0.004490577923391725
v_subj(Baseline).25,0.0027473026421756495,0.15037796182024737,-0.3159615934379074,-0.08896183297503885,0.01632586279847814,0.09842584802715881,0.2868749121332653,0.005271703631601968
v_subj(Baseline).26,0.1644199089094741,0.16034433743591728,-0.12180583813850221,0.05585008127753682,0.14997434241087676,0.26384858476908657,0.515528749506435,0.006235499295649894
v_subj(Baseline).27,0.05944135462922346,0.14849935258725405,-0.2433217674620804,-0.028200514108449926,0.059221515176537176,0.15340977488346308,0.3504978241959307,0.004469652712753985
v_subj(Baseline).28,0.06220873266876656,0.15185910344149275,-0.24876921671581442,-0.03410971576572441,0.06376096988228036,0.1543241068508916,0.3641291048867776,0.004531507354736267
v_subj(Baseline).29,0.11934408412613562,0.15394362046085389,-0.17906174406077002,0.01776841626725112,0.11350960968721202,0.21407449424827163,0.4335401672780681,0.005240618648661365
v_subj(Baseline).30,0.11430200482710881,0.15706184101716683,-0.1788879898896118,0.013236802515280144,0.10489230745629924,0.2058670886926096,0.45657196945262013,0.005287878215996702
v_subj(Baseline).31,-0.07201512286023438,0.17190527300627303,-0.4483661606306056,-0.1804988878125381,-0.04782274233408357,0.05079889662617765,0.21927143959004203,0.008144321790372345
v_subj(Baseline).32,0.1289076939815816,0.15306470779598397,-0.1581037467543521,0.028766204202672174,0.12004439931520128,0.2222347991238781,0.4544267387282548,0.00545477856101235
