subj_idx,param,Phase,mean,sd,hdi_low,hdi_high
0,a,Baseline,0.5141951841139504,0.008045655912274149,0.4961542984385223,0.5282191792571724
1,a,Baseline,0.5184018318468527,0.007508395775006489,0.5038318704140475,0.5343712349852564
2,a,Baseline,0.5174280638203491,0.007773459249440107,0.5012749343963673,0.533645878740908
3,a,Baseline,0.5189722715575119,0.007274766126051226,0.5050970620864139,0.5339742870416412
4,a,Baseline,0.5158677382131341,0.00754223388659102,0.4999645262866687,0.5307311151915395
5,a,Baseline,0.5183037303125613,0.007318624519282903,0.5032829879177814,0.5326779204977911
6,a,Baseline,0.5158588624638467,0.007884919439772304,0.4988614300332021,0.5308243993771036
7,a,Baseline,0.5156903983471656,0.007714976238666076,0.49844157634008895,0.5307535621596354
8,a,Baseline,0.5182975777000136,0.007467574115025705,0.5038891978649132,0.5347077262074749
9,a,Baseline,0.5202681674327613,0.008023830208519555,0.5050993756692399,0.5382098527715914
10,a,Baseline,0.5187751538897705,0.007527901713473197,0.5042575598139544,0.5345146424353772
11,a,Baseline,0.5225888751899808,0.008447981525844372,0.5083401105620519,0.5422968460909715
12,a,Baseline,0.5168935852190443,0.007642146001509568,0.5000667398518089,0.5316926941485965
13,a,Baseline,0.5149264327096461,0.007795023486263581,0.497411643709191,0.5290819291586514
14,a,Baseline,0.5193668588462785,0.00720939070186674,0.5056196436467851,0.535038526693484
15,a,Baseline,0.5193735552176043,0.0076634382845440704,0.5048451331917293,0.5363780479466518
16,a,Baseline,0.5140655619574874,0.0077998245382822785,0.496361389259497,0.5277488976525482
17,a,Baseline,0.5142640202424089,0.00785344219131746,0.49668086513680687,0.528835538321127
0,a,PostTest,0.5166631667131909,0.009878121603506757,0.49230319500096686,0.5305482794110866
1,a,PostTest,0.5273731319392034,0.007919004793042705,0.5138368603968196,0.5461527440062538
2,a,PostTest,0.5242598089481788,0.007534244594781118,0.5098170043412621,0.5398151224864608
3,a,PostTest,0.5227644270036981,0.00749074887632801,0.5068133881287741,0.536729986635777
4,a,PostTest,0.5236338379622515,0.007238941286792141,0.508074393132925,0.5381865404361441
5,a,PostTest,0.5205576223025928,0.008155618819897018,0.5023290101023855,0.5338948087217513
6,a,PostTest,0.5220946132734517,0.007548264733929462,0.5055878662214763,0.536063358361776
7,a,PostTest,0.5237907257004258,0.007366354356236916,0.5085502248298928,0.5384273204747695
8,a,PostTest,0.5226635791037041,0.007568729979399073,0.5066191856195374,0.5374024369251856
9,a,PostTest,0.5227876264994662,0.007556354176696607,0.5073162812037777,0.5372143264719164
10,a,PostTest,0.5244432523500069,0.007733101241888197,0.5090138425252739,0.541192878149668
11,a,PostTest,0.5243608167524465,0.007226621660797593,0.5099478559780298,0.5393959174734111
12,a,PostTest,0.5230396977588115,0.007604690983725436,0.5067982103123915,0.5373548668189493
13,a,PostTest,0.5184531093704796,0.008909322878028373,0.497465972577316,0.5323230392663072
14,a,PostTest,0.5243651142257394,0.007518826004861847,0.509599110353303,0.5405002693742963
15,a,PostTest,0.5234681145953515,0.007544336932361843,0.5075063117905844,0.5383744559462355
