subj_idx,param,Phase,mean,sd,hdi_low,hdi_high
18,a,Baseline,0.5231235480529706,0.008101292097355972,0.5104868678938859,0.5436498247591799
19,a,Baseline,0.5233128289185157,0.007912920446541988,0.5110132997136677,0.542558619078792
20,a,Baseline,0.5215245063386035,0.007563783658307404,0.5080620591734075,0.5394987190978854
21,a,Baseline,0.5182365017198023,0.007314288177129053,0.5011124087316084,0.5320138317966971
22,a,Baseline,0.5222292856602442,0.007691972463043296,0.5094980724376176,0.5401291668533056
23,a,Baseline,0.5201204647545282,0.006994583502529143,0.5062652270887383,0.5354231442173336
24,a,Baseline,0.5221762923243403,0.007426978242686135,0.5102044457582463,0.5396608547729619
25,a,Baseline,0.5205938737225153,0.006829494635313858,0.5080221982501869,0.535947083201519
26,a,Baseline,0.5174888215328065,0.0077062714000289065,0.5003649265319766,0.5319686855207248
27,a,Baseline,0.5227421278764477,0.007829028352859022,0.5111416229434742,0.5419541462925918
28,a,Baseline,0.5206218163778412,0.006985987361172072,0.5074853265444514,0.5364213357041078
29,a,Baseline,0.5176864222112557,0.0074639773880333105,0.5001058858833486,0.531548743110292
30,a,Baseline,0.5199711702385388,0.006997482213946834,0.5060693349745751,0.5343533972123902
31,a,Baseline,0.5191323859027339,0.007158807698496055,0.5037333632290044,0.5334486000569948
32,a,Baseline,0.519157272519474,0.007310131543418155,0.5022797713952396,0.5333438247167686
33,a,Baseline,0.518326204807135,0.00726194630145348,0.5021296211358722,0.5321382071271288
34,a,Baseline,0.5198295463755931,0.007185688254415186,0.5051232082066153,0.5349112406355321
35,a,Baseline,0.5194339447535741,0.007029548927756534,0.5054513259734196,0.5340379782457535
18,a,PostTest,0.5168996025767743,0.006593914610726251,0.5024864772788042,0.5300051271186768
19,a,PostTest,0.5206087521568926,0.007447811607416006,0.5085254045415117,0.5395730120272285
20,a,PostTest,0.5166742176115112,0.00695052710723711,0.5001985238455796,0.5298093320482943
21,a,PostTest,0.5152057101543402,0.0072782912018798315,0.4993028972918834,0.5271715802691198
22,a,PostTest,0.5205923371996439,0.007419920015445903,0.5086239899458218,0.539070793249519
23,a,PostTest,0.5130541405643035,0.00864347746611167,0.49103240233640394,0.5250367832432586
24,a,PostTest,0.518511866754298,0.0065787459790034395,0.5058260942944449,0.5337075066845983
25,a,PostTest,0.5190927498269161,0.007042613254022679,0.5065472753444918,0.5356937885617069
26,a,PostTest,0.5168448346451782,0.00699604798343143,0.5009180522414486,0.530809735463105
27,a,PostTest,0.5173897670814128,0.006619686199451977,0.5031013524760113,0.5304467183247125
28,a,PostTest,0.5163385751585317,0.00694832017137466,0.499680074035805,0.5286212440107695
29,a,PostTest,0.5191299857449491,0.007055381480783405,0.50573231916138,0.5354949330543469
30,a,PostTest,0.5165639962375776,0.006844343271369916,0.5009403966583152,0.5296548055537411
31,a,PostTest,0.516697266173793,0.006743409306092334,0.501258235076793,0.5293104243116414
32,a,PostTest,0.5183871549627656,0.006617193049210898,0.5051207202800149,0.5331705571873862
33,a,PostTest,0.5176728504130491,0.006566211711671697,0.50403517321095,0.5317297062931267
34,a,PostTest,0.5183479171109114,0.006923800547723266,0.5040979097377836,0.53350152428162
35,a,PostTest,0.5186958671608365,0.0066293129598560385,0.5057325277503529,0.5339381731897417
18,v,Baseline,0.0521751498143188,0.15171344874767678,-0.2546391334565018,0.3515235893685073
19,v,Baseline,0.09208439053412198,0.15341882874241164,-0.21395926449822494,0.4132243741053151
20,v,Baseline,-0.057626748224137325,0.1685605622626357,-0.4210045820958138,0.22519220680180158
21,v,Baseline,0.08391503756030005,0.1551733010378256,-0.23217231997184132,0.3888733644259931
22,v,Baseline,0.12142600180783143,0.15096442565409238,-0.15552665591823306,0.4516250455247664
23,v,Baseline,0.05764025580632822,0.14843520593634144,-0.2617408541163372,0.357515275796586
24,v,Baseline,0.055864992163682736,0.1442284795912243,-0.24720599940755328,0.33660913370301426
25,v,Baseline,0.0027473026421756495,0.15037796182024737,-0.3158485990292292,0.2852130134758267
26,v,Baseline,0.1644199089094741,0.16034433743591728,-0.121676364786069,0.5152219361564695
27,v,Baseline,0.05944135462922346,0.14849935258725405,-0.2432931167403988,0.34972546452472386
28,v,Baseline,0.06220873266876656,0.15185910344149275,-0.2487043986985746,0.36333929095809425
29,v,Baseline,0.11934408412613562,0.15394362046085389,-0.17830309839274058,0.43333717634397384
30,v,Baseline,0.11430200482710881,0.15706184101716683,-0.1761860462415189,0.4565410424725868
31,v,Baseline,-0.07201512286023438,0.17190527300627303,-0.44801229244483776,0.21906014515192984
32,v,Baseline,0.1289076939815816,0.15306470779598397,-0.15804997124041192,0.4541580511858091
33,v,Baseline,0.06711860830704629,0.14943952454364687,-0.22706356107280473,0.376479218436314
34,v,Baseline,0.07962176689920517,0.15465287520898385,-0.2286572385691052,0.3984482162956976
35,v,Baseline,0.10326973423660807,0.15995570482140387,-0.20829228593740357,0.4413008099428548
18,v,PostTest,0.08887624284527199,0.1584438269787722,-0.20931727704682385,0.42025343627823747
19,v,PostTest,0.10400455973996518,0.1530096281261105,-0.17682285040281195,0.4217490095377768
20,v,PostTest,0.009098899169138704,0.15096026485993502,-0.31115306347773214,0.29457579876434614
21,v,PostTest,-0.007894688848006025,0.15305391182269462,-0.3303449783882567,0.2978065516924558
22,v,PostTest,0.028408078056104045,0.15027926100258862,-0.26929172620211356,0.32701466840876364
23,v,PostTest,-0.053610992135774097,0.16301239718115945,-0.402505889261122,0.24742386186629936
24,v,PostTest,-0.0078033569276817275,0.1569958033163919,-0.33728636439078613,0.2867721856024633
25,v,PostTest,0.20484264163281196,0.1774322090492992,-0.10210518176946104,0.5874478575415695
26,v,PostTest,-0.09835405187071536,0.16808239821781729,-0.4474643525268101,0.19577811271281617
27,v,PostTest,0.07275842331079119,0.1546778821564866,-0.21323857891808803,0.3936551241639994
28,v,PostTest,0.12079509535995374,0.16097218136908234,-0.17396679483960273,0.47301047712800043
29,v,PostTest,0.002485976171200664,0.14969034492527786,-0.30835903451345487,0.27823495651775737
30,v,PostTest,0.10607870751584346,0.1673881543571841,-0.19430408872678195,0.4866050216798322
31,v,PostTest,0.149673660982103,0.1668909175015023,-0.14000040561088534,0.5116102701344111
32,v,PostTest,-0.07257307358169222,0.15823849130851636,-0.4088015531850837,0.2077942832777751
33,v,PostTest,-0.05890604357970378,0.16135237347896417,-0.4139760590718974,0.23119380796696062
34,v,PostTest,-0.053989501967448596,0.16270789026144977,-0.4085602756671819,0.23377184334132453
35,v,PostTest,0.19017109999842313,0.17499471490748864,-0.11662521709404144,0.5570061368486308
18,t,Baseline,0.18656719284132003,0.0013454471820901533,0.18407955677289028,0.18966172984642862
19,t,Baseline,0.17699772022125598,0.001021726843692998,0.1748156142141543,0.17874406853671349
20,t,Baseline,0.18225938093179397,0.001130942149652028,0.17990733523273317,0.1843380974240154
21,t,Baseline,0.18558484071482476,0.001055527314600718,0.1833650084977068,0.18747119014125907
22,t,Baseline,0.17961935415569602,0.0012462391842676579,0.17744506047677597,0.183139849704438
23,t,Baseline,0.1718726188035461,0.0010567319353291746,0.1697258389652602,0.17365195828325863
24,t,Baseline,0.1892409314746071,0.001090690059156837,0.18698655173583775,0.1911567767261264
25,t,Baseline,0.18563961756124897,0.0011147276105920357,0.18331259619984788,0.18763266738357462
26,t,Baseline,0.1781887023413245,0.0009861378632401649,0.1760831578919453,0.1799850569429577
27,t,Baseline,0.17994448194286167,0.0012470747179243466,0.17755381695093664,0.18272044385389322
28,t,Baseline,0.17620208863986614,0.0010146915480264607,0.1740966657859752,0.17803716446652038
29,t,Baseline,0.18666923537032865,0.001157987201248775,0.18423418286795756,0.18878464981841447
30,t,Baseline,0.17998182287265424,0.0010508920989077699,0.17787882629562074,0.18183611243226624
31,t,Baseline,0.18870349630328,0.0011447208945884245,0.18627717563382687,0.19084944978186724
32,t,Baseline,0.18334864922990915,0.0010870176683962687,0.1811207190877283,0.1852572627103487
33,t,Baseline,0.17662785232540398,0.0010730213615678266,0.17433002697240818,0.17851524334561183
34,t,Baseline,0.18780058062930327,0.0011579918120280391,0.18542404701643803,0.18982078585028722
35,t,Baseline,0.17704768879207253,0.000999301987151409,0.17502642243316108,0.1789961197668582
18,t,PostTest,0.1883351662890422,0.0011086980734913905,0.18590958448753714,0.19030340879072452
19,t,PostTest,0.18018508028056432,0.0010944617450278867,0.17791441615106138,0.18216271940934461
20,t,PostTest,0.17880239967407555,0.0012439023273907064,0.1765200992659812,0.18173454528352068
21,t,PostTest,0.1832379626685142,0.0011029015484838938,0.18084445722140888,0.18521403974145648
22,t,PostTest,0.17842710866310682,0.0010363525569486282,0.17618023725530593,0.18026609630400703
23,t,PostTest,0.17312379617368046,0.000956036918959387,0.17108378392601303,0.17490710468171972
24,t,PostTest,0.18797209499415388,0.0011113134316519209,0.18554230177890235,0.18989954678365037
25,t,PostTest,0.18330497375176955,0.0011734470386826194,0.18081575353588228,0.18538754511451877
26,t,PostTest,0.1772147404237817,0.0009835641370997982,0.1751402990546654,0.17895925957016073
27,t,PostTest,0.17922982687551745,0.0010348866970812927,0.17710595078808616,0.18105707748784208
28,t,PostTest,0.1777628824657113,0.0010417249410638245,0.17560242089454278,0.17970313648091155
29,t,PostTest,0.1841330229831882,0.0011231981326714387,0.18172210444145445,0.18604645952328808
30,t,PostTest,0.17824318205217538,0.0010644305928662313,0.1761620440560538,0.18049554717219732
31,t,PostTest,0.18737012585880844,0.0011639856416411588,0.18491467427505173,0.1894339510819524
32,t,PostTest,0.1849551537297279,0.0010332940199833205,0.18277598561007938,0.18680096560485893
33,t,PostTest,0.17755966385721275,0.0010586762768429205,0.1752898764862118,0.1794468908323521
34,t,PostTest,0.18785076417120972,0.0011892310960096998,0.18533229146741745,0.18991392855834435
35,t,PostTest,0.17745056367583212,0.0010041573587088373,0.175300019578416,0.17920346878273988
