SubjectID,Group,Phase,TrialNumber,TargetSide,ResponseSide,IsCorrect,ReactionTime_ms,EMSOffset_ms,EMSFireTiming_ms,AgencyYes,Timestamp
P004,AgencyEMS,Baseline,1,Left,Right,0,1535.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,2,Left,Left,1,595.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,3,Right,Right,1,765.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,4,Left,Left,1,575.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,5,Right,Right,1,1245.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,6,Left,Left,1,930.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,7,Left,Left,1,730.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,8,Left,Left,1,790.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,9,Left,Left,1,1175.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,10,Right,Right,1,445.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,11,Left,Left,1,780.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,12,Right,Right,1,505.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,13,Left,Left,1,1035.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,14,Left,Left,1,1295.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,15,Right,Right,1,1050.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,16,Right,Right,1,780.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,17,Left,Left,1,1310.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,18,Left,Left,1,485.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,19,Right,Right,1,1025.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,20,Left,Left,1,685.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,21,Left,Left,1,620.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,22,Left,Left,1,945.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,23,Left,Left,1,875.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,24,Left,Left,1,1025.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,25,Right,Right,1,510.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,26,Left,Left,1,620.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,27,Left,Left,1,470.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,28,Right,Right,1,565.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,29,Left,Left,1,770.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,30,Right,Right,1,565.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,31,Right,Right,1,630.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,32,Left,Left,1,680.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,33,Right,Right,1,720.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,34,Left,Left,1,440.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,35,Left,Left,1,505.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
P004,AgencyEMS,Baseline,36,Left,Left,1,725.649,0.0,0.0,0,2026-04-24T15:58:26.645499+00:00
