SubjectID,Group,Phase,TrialNumber,TargetSide,ResponseSide,IsCorrect,ReactionTime_ms,EMSOffset_ms,EMSFireTiming_ms,AgencyYes,Timestamp
P013,AgencyEMS,Baseline,1,Right,Right,1,212.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
P013,AgencyEMS,Baseline,2,Left,Left,1,230.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
P013,AgencyEMS,Baseline,3,Left,Left,1,255.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
P013,AgencyEMS,Baseline,4,Left,Left,1,275.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
P013,AgencyEMS,Baseline,5,Right,Right,1,186.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
P013,AgencyEMS,Baseline,6,Right,Right,1,358.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
P013,AgencyEMS,Baseline,7,Left,Left,1,256.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
P013,AgencyEMS,Baseline,8,Left,Left,1,205.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
P013,AgencyEMS,Baseline,9,Left,Left,1,207.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
P013,AgencyEMS,Baseline,10,Right,Right,1,216.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
P013,AgencyEMS,Baseline,11,Right,Left,0,382.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
P013,AgencyEMS,Baseline,12,Left,Left,1,232.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
P013,AgencyEMS,Baseline,13,Left,Left,1,300.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
P013,AgencyEMS,Baseline,14,Right,Right,1,218.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
P013,AgencyEMS,Baseline,15,Right,Right,1,310.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
P013,AgencyEMS,Baseline,16,Left,Left,1,200.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
P013,AgencyEMS,Baseline,17,Right,Right,1,290.277,0.0,0.0,0,2026-04-26T15:58:30.390892+00:00
