subj_idx,subject_id,a,v,t
0,001,0.5754808672693256,0.027083987881585562,0.2500764068304908
1,002,0.6514413388227994,0.022890533281997326,0.25891966520768034
2,003,0.5881435753766805,0.028610645934684775,0.2347309829731467
3,004,0.6029732376990145,0.04120615845332604,0.2238748447045495
4,005,0.6789915232994446,0.03223854369160829,0.23870880052076618
5,006,0.7567078154430896,0.04918521149921293,0.24414172359444536
6,007,0.8494392992840394,0.03662442484688366,0.3559473136120302
7,008,0.7542848408775221,0.03554484073475726,0.2875822532498488
8,009,0.6438000773273909,0.02093902830383878,0.2143863186417326
9,010,0.6692414380240591,0.02642132319983794,0.29482584665872735
