subj_idx,subject_id,a,v,t
0,001,1.3251610569650092,6.097691154851554,0.22113588934639697
1,002,1.9786008488838265,6.642166315835561,0.21296838149830585
2,003,0.8728187468265706,4.468853077181204,0.22586975827798958
3,004,0.7054150892758162,3.145029484894368,0.2216117937116068
4,005,1.493572411110094,5.301242379947389,0.2110065377954527
5,006,1.8898856362105902,5.3448680644356985,0.21087639911149708
6,007,3.276679955433495,5.222064388553301,0.21541642537568664
7,008,2.5369508599841737,6.072018131304781,0.21906512986616844
8,009,0.7266514337880056,2.795080488638476,0.21692153939756265
9,010,2.5564837889782512,6.956734363312557,0.21642827137859155
