subject_id,session,group,n_trials_raw,n_trials_used,n_excluded,acc,rt_mean_ms
001,test_01_20260430_164632,0,80,80,0,1.0,328.6
002,test_02_20260430_165312,0,80,80,0,0.9875,357.6
003,test_01_20260430_165835,0,80,80,0,0.95,314.7
004,test_01_20260430_170340,0,80,80,0,0.875,316.5
005,test_01_20260430_170917,0,80,80,0,0.975,345.4
006,test_01_20260430_171442,0,80,80,0,0.9625,382.5
007,test_01_20260430_172028,0,80,80,0,0.9875,530.7
008,test_01_20260430_172608,0,80,80,0,0.9875,425.4
009,test_01_20260430_173102,0,80,80,0,0.8375,308.6
010,test_01_20260430_174624,0,80,80,0,0.9625,397.8
